aṁkvār,aṅkapāli
aṁkhuā,akṣa
aṅgār,aṅgāra
aṅgārā,aṅgāra
aṁgīṭhā,agniṣṭha
aṁgīṭhī,agniṣṭha
aṅgul,aṅgula
aṁgulī,aṅguli
aṁgūṭhā,aṅguṣṭha
aṁgūr,aṅkūra
aṁgochā,aṅgoñcha
añanī,āñjaniya
añal,añjali
añălī,añjali
añul,añjali
aṁṭhaī,aṣṭapāda
aṇḍ,āmaṇḍa
aṇḍā,aṇḍa
aṁtrā,antara
andhā,andha
aṁdhiyār,andhakāra
aṁdhiyārī,andhakāra
amb,āmra
aūt,aputra
akan-,ākarṇayati
akol,aṅkolla
akhāṛā,akṣavāṭa
agtī,agasti
agar,agaru
agʾhan,agrahāyaṇa
agiyārī,agnikārya
aguā,agregū
aghānā,āghrāpayati
aghānā,āghrāṇa
acrā,añcala
acav-,ācāmati
acvan,ācamaṇa
acānā,ācāmati
acaun,ācamana
acchā,accha
ach-,ākṣeti
a-chūt,acchupta
a-chūtā,acchupta
ajvāyn,yavānī
aṭā,aṭṭa
aṭārī,aṭṭālikā
aṭāl,aṭṭāla
aṭālā,aṭṭāla
aṭṭā,aṭṭa
aṭṭhā,aṣṭaka
aṭṭhāīs,aṣṭāviṁśati
aṭṭhānve,aṣṭānavati
aṭṭhāvan,aṣṭāpañcāśat
aṭṭhāsī,aṣṭāśīti
aṭhhattar,aṣṭāsaptati
aṛtālīs,aṣṭācatvāriṁśat
aṛtīs,aṣṭātriṁśat
aṛsaṭh,aṣṭāśaṣṭi
aṛūsā,aṭarūśaka
aṛhāī,ardhatr̥tīya
ati-bel,ati
athamnā,astamayana
athāī,āsthāyikā
a-thāh,asthāgha
addhā,arddha
adh-,arddha
adhiyā,ardhika
an-,an
anaṭ,anartha
anat,anyatra
anāj,annādya
anāṛī,ajñānin
anī,anīka
anuvā,anūpa
anokhā,anapekṣa
a-pān,a
a-pūṭhau,aspr̥ṣṭa
a-bār,a
a-bīj,a
a-bhev,a
amcūr,āmra
amṛā,āmrātaka
amāvaṭ,āmrāvarta
amāvas,amāvāsyā
amiyă,amr̥ta
amī,amr̥ta
amoṭ,āmrāvarta
ammā,ambā
ayān,ajānant
ayānā,ajānant
araṇḍ,eraṇḍa
araṛānā,āraṭati
arnā,araṇa
arnī,araṇa
arrānā,āraṭati
arvī,ālukī
aras-paras,sparśa
arhaṭ,araghaṭṭa
aru,apara
are,are
a-lakh,alakṣya
a-lag,alagna
algā,alagna
altā,alakta
alān,ālāna
alāp,ālāpya
alāv,alāta
alī,alin
a-lok,alokya
alonā,alavaṇa
avalī,āvalī
avāī,apavāda
asāit,a
asāṛh,āśāḍha
asāṛhī,āśāḍhīya
a-sār,asāra
assī,aśīti
ahaṃ,aham
ahamiti,ahaṃmati
ahīṭā,adhiṣṭhāyaka
ahīr,ābhīra
aheṛ,ākheṭa
aheran,adhikaraṇī
āṁkṛā,aṅka
āṁknā,aṅkayati
āṁkh,akṣi
āṁkh,akṣa
āṁgan,aṅgana
āṁgā,aṅga
āṁgul,angula
āṁc,arcis
āṁcal,añcala
āṁcū,ākṣika-; ācchuka
āṁjnā,añjati
āṁṭ,āvr̥tti
āṁṭhī,aṣṭi
āṁḍ,āmaṇḍa
āṁṛ,āṇḍa
āṁt,āntra
āṁdū,andū̆ka
āṁdhī,andhikā
āṁb,āmra
āṁbī,an
āṁv,āma
āṁvan,āmocana
āṁvlā,āmalaka
āṁvā,āpāka
āṁsū,aśru
āu,āyuś
āk,arka
āklā,ākula
āklī,ākula
ākhat,akṣata
āg,agni
āgā,agra
āge,agre
āch-,ākṣeti
āj,adya
ājā,āryaka
ājī,āryikā
āṭh,aṣṭā
āḍ,āḍi
āṛī,āti
āṛhā,āḍhaka
ādā,ārdraka
ādī,ārdraka
ādhā,ardha
ān,āṇi
ān,ājñā
ān,anya
ān,āpayati
ān-,ānayati
ānā,āpayati; āgata
ānā-,-ā̆payati
āp,ātman
āpā,ātman
ām,āmra
āyat,ātapta
āyas,ādeśa
ār,ārā
ārătī,ārātrika
ār-pār,āra
ārsī,ādarśa
ārā,āra
ā-roh-,ārohati
ālas,ālasya
ālā,ālaya
ālī,ālī̆
ālū,āluka
āloṛnā,āloḍayati
āv-,āpayati
āvan,āpana
āvāh-,āvāhayati
ās,āśā
āhar,ādhāra
āhlānā,āhlādayati
indur,undura
ikaṭṭhā,ekastha
iktālīs,ekacatvāriṁśat
ikattīs,ekatriṁśat
iksaṭh,ekaṣaṣṭi
ikʾhattar,ekasaptati
ikaunā,ekavarṇa
ikkīs,ekaviṁśati
ikyānve,ekanavati
ikyāvan,ekapañcāśat
ikyāsī,ekāśīti
-in,-inī
imlī,āmla
is,eṣa
īṁgur,hiṅgula
īṁṭ,iṣṭ(ak)ā
īndur,indūra
īkh,ikṣu
īṭh,iṣṭa
īṭhi,iṣṭi
īṭhī,r̥ṣṭi
uṁglī,aṅguli
ur̥ṇ,udr̥ṇin
ukṛūṁ,utkuṭaka
ukasnā,utkasati
ugnā,udgāti
ugāhnā,udgrāhayati
ugāhī,udgrāhita
ughāṛnā,udghāṭayati
ucaṛnā,uccaṭati
ucar-,uccarati
ucār,uccāra
ucārnā,uccārayati
uc-car-,uccarati
uchaṅg,utsaṅga
uchāh,utsāha
ujlā,ujjvala
uṛnā,uḍḍayate
uṛānā,uḍḍāpayati
utarnā,uttarati
utān,uttāna
utār,uttāra
utāran,uttāraṇa
utārnā,uttārayati
uttarāhā,uttarāpatha
udhār,uddhāra
udhār-,uddhārayati
uncās,ūnapañcāśat
untālīs,ūnacatvāriṁśat
untīs,ūnatriṁśat
unsaṭh,ūnaṣaṣṭi
unhattar,ūnasaptati
unāh,uṣṇa
unīṁdā,unnidra
unnīs,ūnaviṁśati
unhār,anuhāra
upajnā,utpadyate
upā-,utpādayati
upāṛnā,utpāṭayati
ubṭan,udvartana
ubaṭnā,udvartayati
ubnā,udvapati
ubānā,udvāpayati
ubharnā,udbharati
umas,ū̆ṣman
umah-,unmathayati
umeṭhan,udveṣṭana
umeṭhnā,udveṣṭate
uram-,avalambate
urmā-,avalambayati
urlā,apāra
ulaṁg-,ullaṅghayati
ulaṅghnā,ullaṅghayati
ulacnā,udricyate
ulajhnā,uparudhyate
ulāhnā,*upālābhayati
ulīcnā,udricyate
ullū,ulūka
usarnā,utsarati
usārnā,avasārayati
ūṁc,ucca
ūṁcā,ucca
ūṁchnā,uñchati
ūṁṭ,uṣṭra
ūk-,utkramati
ūkh,ikṣu
ūt,aputra
ūd,udra
ūdes,uddeśa
ūdham,uddhama
ūn,ūrṇā
ūn,ūnaka
ūbaṭ,udvartman
ūbnā,udvijate
ūbh,ūrdhva
ūmărī,udumbara
ūmī,umbī
ūsar,ūṣara
ek,eka
ekṛā,eka
ekā,aikya
eluā,eluka
evaṛ,avikaṭa
aiṁṭhan,āveṣṭana
aiṁṭhnā,āveṣṭyate
aiṁṛnā,āveṣṭate
aisā,īdr̥śaka
oṁṭh,oṣṭha
oṁdh,avabandha
ojh,ūbadhya
ojhṛī,ubadhya
ojhar,ubadhya
ojhā,upādhyāya
ot,avāpti
obrī,apavaraka
or,avarā
ol,olla
ol,olla
olaṭ,oṭal
olā,upalaka
olī,avacūḍa
os,avaśyā
osrā,avasara
auṁdhā,avamūrdha
au,aparam
aukal,kalya
aukāl,kalya
auṭnā,āvartayati
aur,apara
aulū,apūrva
ausān,avasāna
kaṅgan,kaṅkaṇa
kaṇṭhā,kaṇṭhaka
kaṇḍī,karaṇḍa
kandā,kanda
kandhā,skandha
kaṁpnā,kampate
kampā,kampa
kambal,kambala
kaī,katipaya
kakṛī,karkaṭikā
kaknā,kaṇkaṇa
kakoṛā,karkoṭaka
kacnār,kāñcanāra
kacrā,kaccara
kacrī,karcūra
kacchā,kakṣyā
kachvārā,kaccha
kachuā,kacchapa
kachuā,kakṣa
kaṭnī,kartana
kaṭārā,kaṇṭakāra
kaṭaiyā,kaṇṭakita
kaṛ,karaṭa
kaṛvā,kaṭu
kaṛvā,kaṭu
kaṛā,kaṭa
kaṛā,kaṭa
kaṛārā,kaḍāra
kaṛāhā,kaṭāha
kaṛī,kaṭa
kaṛī,kaṭa
kaṛhī,kvathita
katārā,kāntāraka
kan,kaṇa
kan-,karṇa
kankī,kaṇika
kanhār,karṇadhāra
kanhārā,karṇadhāra
kanā,kanyā
kaniko,kaṇika
kanī,kaṇikā
kane,karṇa
kaner,karavīra
kanautī,karṇapattraka
kannā,karṇaka
kannī,karṇikā
kapṛā,karpaṭa
kapās,karpāsa
kapūr,kapūra
kabrā,karbara
kamaṇḍal,kamaṇḍalu
kamlī,kambalikā
kamār,karmāra
kamerā,karmakara
kamelā,kāmpīla
karañā,karãnja
karañā,karañja
kar,kara
karkarā,karkaṭa
karkarānā,kaṭakaṭa
kargatā,kaṭi
karnī,karaṇīya
karbī,kaḍamba
karvaṭ,karapattra
karvar,kali
