anttaarkattikaa anttaarkttikaa
agratlaa agartalaa
anantanaag anantnaag
anaaraklii anaarkalii
amraavtii amraavatii
aarkattik aarkttik
iltutmish iltutamish
iisap iisp
ulhaasangar ulhaasnagar
Oksafordd Oksfordd
karablaa karbalaa
qabra qabr
keral kerala
kesrii kesarii
kEnabraa kEnbaraa
koyalaa koylaa
xatma xatm
giitaanjli giitaanjalii
ghughlii ghughalii
janavrii janvarii
jayapur jaypur
zindgii zindagii
nagrakurnuul nagarkurnuul
naathadvaaraa naathdvaaraa
niclOl nicalOl
nevlaa nevalaa
pilkhuvaa pilakhuvaa
pokhraa pokharaa
faravrii farvarii
bangglOr banggalOr
barna barn
baaraamtii baaraamatii
bilagraam bilgraam
bhadraaclam bhadraacalam
bhaavangar bhaavnagar
bhiishma bhiishm
makrrii makarrii
mahaableshvar mahaabaleshvar
maayaavtii maayaavatii
yaravdaa yarvadaa
ratnaagiri ratnaagirii
raanjhnaa raanjhanaa
raajashrii raajshrii
ruupangar ruupnagar
lakrrii lakarrii
lahsun lahasun
lormii loramii
haavrraa haavarraa
hEmpashaayar hEmpshaayar
