अ,a
अंक,aṅk
अंकक,aṅkak
अँकड़ना,aṁkaṛnā
अँकड़ा,aṁkṛā
अँकड़ाना,aṁkṛānā
अँकड़ाहट,aṁkṛāhaṭ
अँकड़ी,aṁkṛī
अंकन,aṅkan
अँकना,aṁknā
अंकनीय,aṅkănīyă
अँकरी,aṁkrī
अँकरौरी,aṁkraurī
अँकवाना,aṁkvānā
अँकवार,aṁkvār
अँकवैया,aṁkvaiyā
अँकाई,aṁkāī
अँकाना,aṁkānā
अँकाव,aṁkāv
अंकित,aṅkit
अँकुड़ा,aṁkuṛā
अंकुर,aṅkur
अंकुरक,aṅkurak
अंकुरण,aṅkuraṇ
अँकुरना,aṁkurnā
अंकुरित,aṅkurit
अंकुश,aṅkuś
अँकुसी,aṁkusī
अंकेक्षक,aṅkêkṣak
अंकेक्षण,aṅkêkṣaṇ
अँकोड़ा,aṁkoṛā
अँकोर,aṁkor
अँकोरना,aṁkornā
अँकोरना,aṁkornā
अँकोरी,aṁkorī
अँकौर,aṁkaur
अँखिया,aṁkhiyā
अँखुआ,aṁkhuā
अंग,aṅg
अंगड़खंगड़,aṅgaṛkhaṅgaṛ
अँगड़ाई,aṁgṛāī
अँगड़ाना,aṁgṛānā
अंगद,aṅgad
अँगनई,aṁgănaī
अंगना,aṅgănā
अँगरखा,aṁgarkhā
अँगरी,aṁgrī
अंगलेट,aṅgleṭ
अंगा,aṅgā
अंगा,aṅgā
अंगाकड़ी,aṅgākṛī
अँगाकरि,aṁgākri
अंगार,aṅgār
अंगारा,aṅgārā
अंगारी,aṅgārī
अंगारी,aṅgārī
अँगिया,aṁgiyā
अंगी,aṅgī
अंगीकरण,aṅgīkaraṇ
अंगीकार,aṅgīkār
अंगीकृत,aṅgīkr̥t
अंगीकृति,aṅgīkr̥ti
अँगीठा,aṁgīṭhā
अँगीठी,aṁgīṭhī
अंगुल,aṅgul
अंगुलि,aṅguli
अँगुली,aṁgulī
अंगुश्त,aṅguśt
अंगुश्ताना,aṅguśtānā
अंगुष्ठ,aṅguṣṭh
अँगूठा,aṁgūṭhā
अँगूठी,aṁgūṭhī
अंगूर,aṅgūr
अँगूर,aṁgūr
अँगूरी,aṁgūrī
अँगेट,aṁgeṭ
अँगोछना,aṁgochnā
अँगोछा,aṁgochā
अँगोछी,aṁgochī
अँगोट,aṁgoṭ
अँगोरा,aṁgorā
अँगोरना,aṁgornā
अँगौंगा,aṁgauṁgā
अँगौरिया,aṁgauriyā
अँग्रेज़,aṁgrez
अँग्रेज़िन,aṁgrezin
अँग्रेज़ियत,aṁgreziyat
अँग्रेज़ी,aṁgrezī
अँघड़ा,aṁghṛā
अंघ्रि,aṅghri
अंचकैं,añckaiṁ
अंचल,añcal
अँचव,aṁcav
अँचवा,aṁcvā
अंछर,añchar
अँज,aṁj
अंजन,añjan
अंजन,añjan
अंजन,añjan
अंजना,añjănā
अंजना,añjănā
अंजना,añjănā
अंजनी,añjănī
अंजनी,añjănī
अंजनी,añjanī
अंजनी,añjanī
अंजबार,añbār
अंजरपंजर,añjarpañar
अंजरा,añjarā
अंजल,añjal
अंजलि,añali
अंजली,añălī
अंजाम,añām
अंजीर,añīr
अंजुमन,añuman
अंजुल,añul
अंजू,añū
अँजोरा,aṁjorā
अंझा,añjhā
अंट,aṇṭ
अँटना,aṁṭnā
अँटवाना,aṁṭvānā
अंटा,aṇṭā
अँटाना,aṁṭānā
अँटिया,aṁṭiyā
अँटियाना,aṁṭiyānā
अंटी,aṇṭī
अँठई,aṁṭhaī
अँठलाना,aṁṭhlānā
अँठलाना,aṁṭhlānā
अँठली,aṁṭhlī
अंड,aṇḍ
अंड,aṇḍ
अंडबंड,aṇḍbaṇḍ
अंडा,aṇḍā
अँड़ियाना,aṁṛiyānā
अंडी,aṇḍī
अंडी,aṇḍī
अँड़ैल,aṁṛail
अंत,antaḥ
अंत,ant
अँतड़ी,aṁtṛī
अंतर्,antar
अंतर,antar
अंतरण,antaraṇ
अंतरा,antărā
अँतरा,aṁtrā
अंतराल,antarāl
अंतरिक,antarik
अंतरिक्ष,antarikṣ
अंतरित,antarit
अंतरिम,antarim
अँतरिया,aṁtriyā
अंतरीय,antărīyă
अँतरौटा,aṁtrauṭā
अंतश्,antaś
अंतस्,antas
अंतस्थ,antasth
अंताराष्ट्रीय,antārāṣṭrīyă
अंतिक,antik
अंतिम,antim
अंते,ante
अंतेवासी,antevāsī
अंत्य,antyă
अंत्र,antră
अंदर,andar
अंदरसा,andarsā
अंदरून,andărūn
अंदरुनी,andărūnī
अ़ंदाज़,andāz
अंदाज़न,andāzan
अंदाज़ा,andāzā
अंदेशा,andeśā
अंदोह,andoh
अंध,andh
अंधकार,andhăkār
अंधड़,andhaṛ
अंधता,andhătā
अँधला,aṁdhlā
अंधा,andhā
अंधापन,andhāpan
अँधियार,aṁdhiyār
अँधियारा,aṁdhiyārā
अँधियारी,aṁdhiyārī
अँधियाला,aṁdhiyālā
अँधियाव,aṁdhiyāv
अँधेर,aṁdher
अँधेरा,aṁdherā
अँधेरी,aṁdherī
अँधौरी,aṁdhaurī
अंब,amb
अंबक,ambak
अँबती,aṁbătī
अंबर,ambar
अंबर,ambar
अंबर,ambar
अँबराई,aṁbărāī
अंबरी,ambarī
अंबल,ambal
अंबा,ambā
अंबाड़ा,ambāṛā
अंबार,ambār
अंबारी,ambārī
अंबालिका,ambālikā
अँबासना,aṁbāsnā
अंबिका,ambikā
अँबिया,aṁbiyā
अंबु,ambu
अँबोती,aṁbotī
अंबोह,amboh
अंभ,ambh
अँभौरी,aṁbhaurī
अंश,aṃś
अंशक,aṃśak
अंशी,aṃśī
अंशुमान,aṃśumān
अंशुमाली,aṃśumālī
अंस,aṃs
अ,a
अऊत,aūt
अकंटक,akaṇṭak
अकंपन,akampan
अकंपित,akampit
अक,ak
अकज,akaj
अकड़,akaṛ
अकड़ना,akaṛnā
अकड़ाना,akṛānā
अकड़ू,akṛū
अकड़ैत,akṛait
अकती,aktī
अकथ,akath
अकथनीय,akathănīyă
अकथित,akathit
अकथ्य,akathyă
अकधक,akdhak
अकन,akan
अकबक,akbak
अकबकाना,akbakānā
अकबत,akabat
अकबरी,akbarī
अकर,akar
अकर,akar
अकरण,akaraṇ
अकरणीय,akarăṇīyă
अकरा,akrā
अकरा,akrā
अकरी,akrī
अकर्म,akarm
अकर्मक,akarmak
अकर्मण्य,akarmaṇyă
अकर्मण्यता,akarmaṇyătā
अकर्मा,akarmā
अकर्मी,akarmī
अक़ल,aql
अकलंक,akalaṅk
अकलंकता,akalaṅkătā
अकलंकित,akalaṅkit
अकलंकी,akalaṅkī
अकल,akal
अकल्पनीय,akalpănīyă
अकल्पित,akalpit
अकल्याण,akalyāṇ
अक़वाम,aqvām
अकसर,aksar
अकसरियत,aksariyat
अकसीर,aksīr
अकस्मात्,akasmāt
अकाज,akāj
अकाजी,akājī
अकाट्य,akāṭyă
अकादमी,akādmī
अकाम,akām
अकामता,akāmătā
अकामी,akāmī
अकार,akār
अकारण,akāraṇ
अकारत,akārat
अकारथ,akārath
अकाल,akāl
अकासनीम,akāsnīm
अकिंचन,akiñcan
अक़ीक़,aqīq
अक़ीदत,aqīdat
अक़ीदा,aqīdā
अकीर्ति,akīrti
अकुंठ,akuṇṭh
अकुल,akul
अकुलाना,akulānā
अकुलाहट,akulāhaṭ
अकुली,akulī
अकुलीन,akulīn
अकुशल,akuśal
अकृत,akr̥t
अकृतकार्य,akr̥tăkāryă
अकृतज्ञ,akr̥tagyă
अकृतज्ञता,akr̥tagyătā
अकृतार्थ,akr̥târth
अकृती,akr̥tī
अकृत्य,akr̥tyă
अकृत्रिम,akr̥trim
अकेला,akelā
अकेलापन,akelāpan
अकोर,akor
अकोर,akor
