Word,Translit,Normalized
अ,a,a
अंक,aṅk,a ng k
अंकक,aṅkak,a ng k a k
अँकड़ना,ãkaṛnā,a ~ k a rr n aa
अँकड़ा,ãkṛā,a ~ k rr aa
अँकड़ाना,ãkṛānā,a ~ k rr aa n aa
अँकड़ाहट,ãkṛāhaṭ,a ~ k rr aa h a tt
अँकड़ी,ãkṛī,a ~ k rr ii
अंकन,aṅkan,a ng k a n
अँकना,ãknā,a ~ k n aa
अंकनीय,aṅknīya,a ng k n ii y a
अँकरी,ãkrī,a ~ k r ii
अँकरौरी,ãkraurī,a ~ k r O r ii
अँकवाना,ãkvānā,a ~ k v aa n aa
अँकवार,ãkvār,a ~ k v aa r
अँकवैया,ãkvaiyā,a ~ k v E y aa
अँकाई,ãkāī,a ~ k aa ii
अँकाना,ãkānā,a ~ k aa n aa
अँकाव,ãkāv,a ~ k aa v
अंकित,aṅkit,a ng k i t
अँकुड़ा,ãkuṛā,a ~ k u rr aa
अंकुर,aṅkur,a ng k u r
अंकुरक,aṅkurak,a ng k u r a k
अंकुरण,aṅkuraṇ,a ng k u r a n
अँकुरना,ãkurnā,a ~ k u r n aa
अंकुरित,aṅkurit,a ng k u r i t
अंकुश,aṅkuś,a ng k u sh
अँकुसी,ãkusī,a ~ k u s ii
अंकेक्षक,aṅkekṣak,a ng k e k sh a k
अंकेक्षण,aṅkekṣaṇ,a ng k e k sh a n
अँकोड़ा,ãkoṛā,a ~ k o rr aa
अँकोर,ãkor,a ~ k o r
अँकोरना,ãkornā,a ~ k o r n aa
अँकोरना,ãkornā,a ~ k o r n aa
अँकोरी,ãkorī,a ~ k o r ii
अँकौर,ãkaur,a ~ k O r
अँखिया,ãkhiyā,a ~ kh i y aa
अँखुआ,ãkhuā,a ~ kh u aa
अंग,aṅg,a ng g
अंगड़खंगड़,aṅgaṛkhaṅgaṛ,a ng g a rr kh a ng g a rr
अँगड़ाई,ãgṛāī,a ~ g rr aa ii
अँगड़ाना,ãgṛānā,a ~ g rr aa n aa
अंगद,aṅgad,a ng g a d
अँगनई,ãgnaī,a ~ g n a ii
अंगना,aṅgnā,a ng g n aa
अँगरखा,ãgarkhā,a ~ g a r kh aa
अँगरी,ãgrī,a ~ g r ii
अंगलेट,aṅgleṭ,a ng g l e tt
अंगा,aṅgā,a ng g aa
अंगा,aṅgā,a ng g aa
अंगाकड़ी,aṅgākṛī,a ng g aa k rr ii
अँगाकरि,ãgākri,a ~ g aa k r i
अंगार,aṅgār,a ng g aa r
अंगारा,aṅgārā,a ng g aa r aa
अंगारी,aṅgārī,a ng g aa r ii
अंगारी,aṅgārī,a ng g aa r ii
अँगिया,ãgiyā,a ~ g i y aa
अंगी,aṅgī,a ng g ii
अंगीकरण,aṅgīkraṇ,a ng g ii k r a n
अंगीकार,aṅgīkār,a ng g ii k aa r
अंगीकृत,aṅgīkŕt,a ng g ii k r i t
अंगीकृति,aṅgīkŕti,a ng g ii k r i t i
अँगीठा,ãgīṭhā,a ~ g ii tth aa
अँगीठी,ãgīṭhī,a ~ g ii tth ii
अंगुल,aṅgul,a ng g u l
अंगुलि,aṅguli,a ng g u l i
अँगुली,ãgulī,a ~ g u l ii
अंगुश्त,aṅguśt,a ng g u sh t
अंगुश्ताना,aṅguśtānā,a ng g u sh t aa n aa
अंगुष्ठ,aṅguṣṭh,a ng g u sh tth
अँगूठा,ãgūṭhā,a ~ g uu tth aa
अँगूठी,ãgūṭhī,a ~ g uu tth ii
अंगूर,aṅgūr,a ng g uu r
अँगूर,ãgūr,a ~ g uu r
अँगूरी,ãgūrī,a ~ g uu r ii
अँगेट,ãgeṭ,a ~ g e tt
अँगोछना,ãgochnā,a ~ g o ch n aa
अँगोछा,ãgochā,a ~ g o ch aa
अँगोछी,ãgochī,a ~ g o ch ii
अँगोट,ãgoṭ,a ~ g o tt
अँगोरा,ãgorā,a ~ g o r aa
अँगोरना,ãgornā,a ~ g o r n aa
अँगौंगा,ãgauṅgā,a ~ g O ng g aa
अँगौरिया,ãgauriyā,a ~ g O r i y aa
अँग्रेज़,ãgrez,a ~ g r e z
अँग्रेज़िन,ãgrezin,a ~ g r e z i n
अँग्रेज़ियत,ãgreziyat,a ~ g r e z i y a t
अँग्रेज़ी,ãgrezī,a ~ g r e z ii
अँघड़ा,ãghṛā,a ~ gh rr aa
अंघ्रि,aṅghri,a ng gh r i
अंचकैं,añcka͠i,a n ~ c k a ~ i
अंचल,añcal,a n ~ c a l
अँचव,ãcav,a ~ c a v
अँचवा,ãcvā,a ~ c v aa
अंछर,añchar,a n ~ ch a r
अँज,ãj,a ~ j
अंजन,añjan,a n ~ j a n
अंजन,añjan,a n ~ j a n
अंजन,añjan,a n ~ j a n
अंजना,añjnā,a n ~ j n aa
अंजना,añjnā,a n ~ j n aa
अंजना,añjnā,a n ~ j n aa
अंजनी,añjnī,a n ~ j n ii
अंजनी,añjnī,a n ~ j n ii
अंजनी,añjnī,a n ~ j n ii
अंजनी,añjnī,a n ~ j n ii
अंजबार,añjbār,a n ~ j b aa r
अंजरपंजर,añjarpañjar,a n ~ j a r p a n ~ j a r
अंजरा,añjrā,a n ~ j r aa
अंजल,añjal,a n ~ j a l
अंजलि,añjli,a n ~ j l i
अंजली,añjlī,a n ~ j l ii
अंजाम,añjām,a n ~ j aa m
अंजीर,añjīr,a n ~ j ii r
अंजुमन,añjuman,a n ~ j u m a n
अंजुल,añjul,a n ~ j u l
अंजू,añjū,a n ~ j uu
अँजोरा,ãjorā,a ~ j o r aa
अंझा,añjhā,a n ~ jh aa
अंट,aṇṭ,a n tt
अँटना,ãṭnā,a ~ tt n aa
अँटवाना,ãṭvānā,a ~ tt v aa n aa
अंटा,aṇṭā,a n tt aa
अँटाना,ãṭānā,a ~ tt aa n aa
अँटिया,ãṭiyā,a ~ tt i y aa
अँटियाना,ãṭiyānā,a ~ tt i y aa n aa
अंटी,aṇṭī,a n tt ii
अँठई,ãṭhaī,a ~ tth a ii
अँठलाना,ãṭhlānā,a ~ tth l aa n aa
अँठलाना,ãṭhlānā,a ~ tth l aa n aa
अँठली,ãṭhlī,a ~ tth l ii
अंड,aṇḍ,a n dd
अंड,aṇḍ,a n dd
अंडबंड,aṇḍbaṇḍ,a n dd b a n dd
अंडा,aṇḍā,a n dd aa
अँड़ियाना,ãṛiyānā,a ~ rr i y aa n aa
अंडी,aṇḍī,a n dd ii
अंडी,aṇḍī,a n dd ii
अँड़ैल,ãṛail,a ~ rr E l
अंत,ant,a n t
अंत,ant,a n t
अँतड़ी,ãtṛī,a ~ t rr ii
अंतर्,antar,a n t a r
अंतर,antar,a n t a r
अंतरण,antraṇ,a n t r a n
अंतरा,antrā,a n t r aa
अँतरा,ãtrā,a ~ t r aa
अंतराल,antrāl,a n t r aa l
अंतरिक,antrik,a n t r i k
अंतरिक्ष,antrikṣ,a n t r i k sh
अंतरित,antrit,a n t r i t
