punjabi,phon
ਆ,aa
ਆਬ,aa b
ਅਬਾਦ,a b aa d
ਅਬਾਦਾਨ,a b aa d aa n
ਅਬਾਦਾਨੀ,a b aa d aa n ii
ਅਬਾਦੀ,a b aa d ii
ਅਬਜ,a b a j
ਅਬਾਸੀ,a b aa s ii
ਅਬੱਸ,a b a s s
ਅੱਬਾ,a b b aa
ਅੱਬਲ,a b b a l
ਅੱਬਡ਼ਵਾਹ,a b b a rr v aa h
ਅੱਬਡ਼ਵਾਹਾ,a b b a rr v aa h aa
ਅੱਭਰ,a b bh a r
ਅੱਭਯਾਗਤ,a b bh y aa g a t
ਅੱਭਯਾਗਤਣ,a b bh y aa g a t a nn
ਅੱਭਯਾਸ,a b bh y aa s
ਅੱਭਯਾਸਣ,a b bh y aa s a nn
ਅੱਭਯਾਸੀ,a b bh y aa s ii
ਅੱਬਧੂਤ,a b dh uu t
ਅਬਧੂਤਣੀ,a b dh uu t nn ii
ਅਬਦੂਮਾੱਨਾ,a b d uu m aa n n aa
ਅਬੇਜਾਰ,a b e j aa r
ਅਬੇਰ,a b e r
ਅਬੇਰੇ,a b e r e
ਅਬੇਤਬੇ,a b e t a b e
ਅਬਗਤ,a b g a t
ਅਭਾਗ,a bh aa g
ਅਭਾਗਾ,a bh aa g aa
ਅਭਾਗਣ,a bh aa g a nn
ਅਭਗਤ,a bh a g a t
ਅਭਾਗੀ,a bh aa g ii
ਅਭਗਤਣ,a bh a g t a nn
ਅਭੈ,a bh E
ਅਭੱਖ,a bh a k kh
ਅਭੰਗ,a bh a ng g
ਅਭਾਉ,a bh aa o
ਅਭਾਵ,a bh aa v
ਅਭਰਮ,a bh a r a m
ਅਭੌ,a bh O
ਅਭੇਦ,a bh e d
ਅਭੇਤ,a bh e t
ਅਭੇਵ,a bh e v
ਅਭਮਾਨ,a bh m a n
ਅਭਮਾਨਣ,a bh m aa n a nn
ਅਭਮਾਨੀ,a bh m aa n ii
ਅਭਮਾਨਤਾ,a bh m aa n t aa
ਅਭਮਾਨਤਾਈ,a bh m aa n t aa ii
ਅਭਰੂਨ,a bh r uu n
ਆਭੂ,aa bh uu
ਅਭੁੱਲ,a bh u l l
ਆਬੀ,aa b ii
ਅਬਜੀਉਕਾ,a b j ii u k aa
ਅਬਕਾ,a b k aa
ਅਬਨਾਸੀ,a b n aa s ii
ਅਬਰਾ,a b r aa
ਅਬਰਕ,a b r a k
ਅਬਰੀ,a b r ii
ਅਬਰੋ,a b r o
ਅਬਰੂ,a b r uu
ਆਬੂ,aa b uu
ਅਬੂਝ,a b uu jh
ਆਬਯਾੱਨਾ,aa b y aa n n aa
ਅਚਾਚੇਤ,a c aa c e t
ਅਚਲਚੇਤ,a c a l c e t
ਅੱਚਲ,a c a l l
ਅਚੰਬਾ,a c a m bh aa
ਅਚਾਣਕ,a c aa nn a k
ਅਚਾਣਚੱਕ,a c aa nn - c a k k
ਅਚਣਚੇਤ,a c a nn c e t
ਅਚੰਬ,a c a ng dd
ਅਚਰ,a c a r
ਅਚਾਰ,a c aa r
ਆਚਾਰ,aa c aa r
ਅਚਾਰਜ,a c aa r a j
ਅਚਾਰੀ,a c aa r i
ਆਚਾਰੀ,aa c aa r ii
ਅਚਰਜ,a c a r j
ਅਚਰਜਣ,a c a r j a nn
ਅਚਰਜੀ,a c a r j ii
ਅਚਰਨ,a c a r n
ਆਚਰਨ,aa c a r n
