ਆ,Á
ਆਬ,ÁB
ਅਬਾਦ,ABÁD
ਅਬਾਦਾਨ,ABÁDÁN
ਅਬਾਦਾਨੀ,ABÁDÁNÍ
ਅਬਾਦੀ,ABÁDÍ
ਅਬਜ,ABAJ
ਅਬਾਸੀ,ABÁSÍ
ਅਬੱਸ,ABASS
ਅੱਬਾ,ABBÁ
ਅੱਬਲ,ABBAL
ਅੱਬਡ਼ਵਾਹ,ABBAṚWÁH
ਅੱਬਡ਼ਵਾਹਾ,ABBAṚWÁHÁ
ਅੱਭਰ,ABBHAR
ਅੱਭਯਾਗਤ,ABBHYÁGAT
ਅੱਭਯਾਗਤਣ,ABBHYÁGATAṈ
ਅੱਭਯਾਸ,ABBHYÁS
ਅੱਭਯਾਸਣ,ABBHYÁSAṈ
ਅੱਭਯਾਸੀ,ABBHYÁSÍ
ਅੱਬਧੂਤ,ABDHÚT
ਅਬਧੂਤਣੀ,ABDHÚTṈÍ
ਅਬਦੂਮਾੱਨਾ,ABDÚMÁNNÁ
ਅਬੇਜਾਰ,ABEJÁR
ਅਬੇਰ,ABER
ਅਬੇਰੇ,ABERE
ਅਬੇਤਬੇ,ABETABE
ਅਬਗਤ,ABGAT
ਅਭਾਗ,ABHÁG
ਅਭਾਗਾ,ABHÁGÁ
ਅਭਾਗਣ,ABHÁGAṈ
ਅਭਗਤ,ABHAGAT
ਅਭਾਗੀ,ABHÁGÍ
ਅਭਗਤਣ,ABHAGTAṈ
ਅਭੈ,ABHAI
ਅਭੱਖ,ABHAKKH
ਅਭੰਗ,ABHAṆG
ਅਭਾਉ,ABHÁO
ਅਭਾਵ,ABHÁW
ਅਭਰਮ,ABHARAM
ਅਭੌ,ABHAU
ਅਭੇਦ,ABHED
ਅਭੇਤ,ABHET
ਅਭੇਵ,ABHEW
ਅਭਮਾਨ,ABHMAN
ਅਭਮਾਨਣ,ABHMÁNAṈ
ਅਭਮਾਨੀ,ABHMÁNÍ
ਅਭਮਾਨਤਾ,ABHMÁNTÁ
ਅਭਮਾਨਤਾਈ,ABHMÁNTÁÍ
ਅਭਰੂਨ,ABHRÚN
ਆਭੂ,ÁBHÚ
ਅਭੁੱਲ,ABHULL
ਆਬੀ,ÁBÍ
ਅਬਜੀਉਕਾ,ABJÍUKÁ
ਅਬਕਾ,ABKÁ
ਅਬਨਾਸੀ,ABNÁSÍ
ਅਬਰਾ,ABRÁ
ਅਬਰਕ,ABRAK
ਅਬਰੀ,ABRÍ
ਅਬਰੋ,ABRO
ਅਬਰੂ,ABRÚ
ਆਬੂ,ÁBÚ
ਅਬੂਝ,ABÚJH
ਆਬਯਾੱਨਾ,ÁBYÁNNÁ
ਅਚਾਚੇਤ,ACHÁCHET
ਅਚਲਚੇਤ,ACHALCHET
ਅੱਚਲ,ACHALL
ਅਚੰਬਾ,ACHAMBHÁ
ਅਚਾਣਕ,ACHÁṈAK
ਅਚਾਣਚੱਕ,ACHÁṈ-CHAKK
ਅਚਣਚੇਤ,ACHAṈCHET
ਅਚੰਬ,ACHAṆḌ
ਅਚਰ,ACHAR
ਅਚਾਰ,ACHÁR
ਆਚਾਰ,ÁCHÁR
ਅਚਾਰਜ,ACHÁRAJ
ਅਚਾਰੀ,ACHÁRI
ਆਚਾਰੀ,ÁCHÁRÍ
ਅਚਰਜ,ACHARJ
ਅਚਰਜਣ,ACHARJAṈ
ਅਚਰਜੀ,ACHARJÍ
ਅਚਰਨ,ACHARN
ਆਚਰਨ,ÁCHARN
ਅਚਾਰਵਣਤ,ACHÁRWAṈT
ਆਚਾਰਵਣਤੀ,ÁCHÁRWAṈTÍ
ਅੱਚਣਚੇਤ,ACHCHAṈCHET
ਅੱਚਵੀ,ACHCHAWÍ
ਅੱਛਾ,ACHCHHÁ
ਅੱਛਰ,ACHCHHAR
ਅੱਖਰ,AKKHAR
ਅੱਚੋਵਾਈਂ,ACHCHOWÁÍṆ
ਅਚੁਤ,ACHCHUT
ਅਚੇਤ,ACHET
ਆਛਾ,ÁCHHÁ
ਅਛੈ,ACHHAI
ਅਖੈ,AKHAI
ਅਛਾਡ਼,ACHHÁṚ
ਅਛੇਦ,ACHHED
ਅਛਿੰਦਾ,ACHHIṆDÁ
ਅਛੋਹ,ACHHOH
ਅਛੂਹ,ACHHÚH
ਅਛੂਹਤ,ACHHÚHT
ਅਚਪਲ,ACHPAL
ਅਚਪਲਾਈ,ACHPALÁÍ
ਆਦ,ÁD
ਆਡ,ÁḌ
ਅਦਾ,ADÁ
ਆਡਾ,ÁḌÁ
ਅਦਬ,ADAB
ਅਦਲ,ADAL
ਆਦਲ,ÁDAL
ਅਦਾਲਤ,ADÁLAT
ਅਦਾਲਤਣ,ADÁLATAṈ
ਅਦਾਲਤੀ,ADÁLATÍ
ਆਦਮ,DAM
ਅਡੰਬਰ,AḌAMBAR
ਆਡੰਬਰ,ÁḌAMBAR
ਆਡੰਬਰਣ,ÁḌAMBARAṈ
ਆਡੰਬਰੀ,ÁḌAMBARÍ
ਅਡੰਬਰੀ,AḌAMBARÍ
ਆਦਰ,ÁDAR
ਆਦਤ,ÁDAT
ਅਡਾਉਣਾ,AḌÁUṈÁ
ਅੱਡ,AḌḌ
ਅੱਡਾ,AḌḌÁ
ਆੱਡਾ,ÁḌḌÁ
ਅੱਦਾ,ADDÁ
ਅੱਡਣਸਾਹੀ,SÁHÍ
ਅੱਡਣਸ਼ਾਹੀ,SHÁHÍ
ਅੱਧ,ADDH
ਅੱਧਾ,ADDHÁ
ਆੱਢਾ,ÁḌḌHÁ
ਅੱਧਣ,ADDHAṈ
ਅੱਧਡ਼ੀ,ADDHAṚÍ
ਅੱਧਡ਼ਵੰਜਾ,ADDHAṚWAṆJJÁ
ਅੱਧੀ,ADDHÍ
ਅੱਧੋਰਾਨਾ,ADDHORÁNÁ
ਅੱਧਯਾਨੀ,ADDHYÁNÍ
ਅੱਧਯਾਰਾ,ADDHYÁRÁ
ਅੱਡੀ,AḌḌÍ
ਆੱਦੀ,ÁDDÍ
ਅੱਦਿਆਉ,ADDIÁU
ਅੱਡਣਾ,AḌḌṈÁ
ਅਦੇਸ,ADES
ਅਢ,AḌH
ਅਧਕ,ADHAK
ਅਧਮ,ADHAM
ਅਧਾਨ,ADHÁN
ਆਧਾਨ,ÁDHÁN
ਅਧਾਰ,ADHÁR
